Device_ID,Timestamp,Device_Type,Battery_Level,Signal_Strength_dBm,Latency_ms,Data_Volume_MB,Local_Model_Accuracy,Privacy_Budget_Used,User_Heart_Rate,Location_X,Location_Y
DEV_00000,2025-01-01 00:00:00,Wearable,99.0,-66.3,1.469,154.69,0.8578,0.36,45,795.02,190.77
DEV_00001,2025-01-01 00:01:00,IndustrialController,63.22,-67.4,2.838,57.61,0.8823,1.74,92,442.37,295.33
DEV_00002,2025-01-01 00:02:00,Wearable,19.45,-59.2,8.286,48.87,0.7137,4.96,86,697.85,432.25
DEV_00003,2025-01-01 00:03:00,IndustrialController,81.62,-51.0,6.362,9.48,0.8847,2.9,70,350.49,511.5
DEV_00004,2025-01-01 00:04:00,AutonomousVehicle,34.03,-74.5,3.538,38.35,0.8374,2.53,68,996.55,339.07
DEV_00005,2025-01-01 00:05:00,SmartSensor,77.18,-58.1,1.985,37.01,0.919,2.02,79,886.37,249.41
DEV_00006,2025-01-01 00:06:00,AutonomousVehicle,75.4,-80.5,2.641,44.7,0.841,4.52,70,104.76,259.03
DEV_00007,2025-01-01 00:07:00,Wearable,32.29,-73.4,7.961,11.08,0.8609,2.22,98,351.44,816.0
DEV_00008,2025-01-01 00:08:00,SmartSensor,56.97,-56.2,7.221,4.2,0.706,4.84,69,27.24,558.91
DEV_00009,2025-01-01 00:09:00,Wearable,65.84,-53.5,1.923,129.14,0.7865,2.61,64,416.94,866.74
DEV_00010,2025-01-01 00:10:00,IndustrialController,93.07,-75.8,1.453,26.88,0.7091,1.69,70,337.56,88.83
DEV_00011,2025-01-01 00:11:00,Wearable,22.04,-66.4,13.057,18.48,0.8039,0.31,58,211.06,611.22
DEV_00012,2025-01-01 00:12:00,SmartSensor,73.07,-61.4,3.243,86.1,0.9255,1.44,90,483.45,997.71
DEV_00013,2025-01-01 00:13:00,Wearable,73.04,-56.5,1.476,11.59,0.7578,3.9,59,706.08,214.74
DEV_00014,2025-01-01 00:14:00,SmartSensor,45.6,-73.4,3.516,74.98,0.7889,2.06,85,201.9,696.14
